시리즈,연월,중앙값_만원_m2
부산,2016-07,325.3411425010918
부산,2016-08,341.0902747061648
부산,2016-09,335.3142365012489
부산,2016-10,337.171546682373
부산,2016-11,325.38620605765726
부산,2016-12,331.81976947258124
부산,2017-01,333.8839075035394
부산,2017-02,335.3513255779651
부산,2017-03,335.3300177218483
부산,2017-04,342.2511905905412
부산,2017-05,341.2539553098527
부산,2017-06,342.0731949853371
부산,2017-07,343.39056509418236
부산,2017-08,340.53405340534056
부산,2017-09,341.3214318080973
부산,2017-10,333.9455668725998
부산,2017-11,337.9431614092952
부산,2017-12,350.9575036240177
부산,2018-01,347.89781761160475
부산,2018-02,353.19048740287263
부산,2018-03,340.13605442176873
부산,2018-04,329.55909700807416
부산,2018-05,336.9028997713873
부산,2018-06,336.4285669242768
부산,2018-07,326.46911099949773
부산,2018-08,325.48555843089287
부산,2018-09,357.6388802609038
부산,2018-10,340.8418633851537
부산,2018-11,334.8729792147806
부산,2018-12,321.3726805276101
부산,2019-01,333.95734932608354
부산,2019-02,335.2715372981746
부산,2019-03,333.0992923475104
부산,2019-04,334.67202141900935
부산,2019-05,329.48929159802304
부산,2019-06,345.54700743252056
부산,2019-07,349.9116607773851
부산,2019-08,364.04578720210174
부산,2019-09,362.9227726262907
부산,2019-10,383.04467479507105
부산,2019-11,428.07464928970546
부산,2019-12,394.3032015065914
부산,2020-01,370.63183903988704
부산,2020-02,367.10201200141194
부산,2020-03,353.6733454766242
부산,2020-04,345.8346142022748
부산,2020-05,367.6433981585662
부산,2020-06,423.21510036496346
부산,2020-07,400.48057669203047
부산,2020-08,388.6269887560817
부산,2020-09,406.0450775176966
부산,2020-10,418.2671788305591
부산,2020-11,362.67203375210573
부산,2020-12,309.72849309316166
부산,2021-01,328.8337060661444
부산,2021-02,333.73437660183356
부산,2021-03,328.3880646774462
부산,2021-04,335.64951124720295
부산,2021-05,360.07206678747633
부산,2021-06,348.920009494422
부산,2021-07,359.41156803744565
부산,2021-08,371.39788795417934
부산,2021-09,368.03874092009687
부산,2021-10,340.2602178424672
부산,2021-11,358.39306551091846
부산,2021-12,359.58266594030624
부산,2022-01,354.7403359863969
부산,2022-02,347.4266870804381
부산,2022-03,340.6192766547421
부산,2022-04,358.7992266675212
부산,2022-05,342.03294626009756
부산,2022-06,350.81604962349445
부산,2022-07,337.7665188938147
부산,2022-08,341.8589636698691
부산,2022-09,361.0906411201179
부산,2022-10,379.5986622073579
부산,2022-11,396.9908758819703
부산,2022-12,405.46911834040543
부산,2023-01,500.0455438840359
부산,2023-02,489.8989898989899
부산,2023-03,467.2538490035812
부산,2023-04,467.1137780915402
부산,2023-05,442.3581453899458
부산,2023-06,452.50168209762097
부산,2023-07,464.6629207802939
부산,2023-08,453.3002370128797
부산,2023-09,466.93125335489765
부산,2023-10,450.12957301280295
부산,2023-11,415.09923466078607
부산,2023-12,429.6688147607702
부산,2024-01,435.4478051076851
부산,2024-02,425.5016977835163
부산,2024-03,438.65479197128803
부산,2024-04,435.85567708730946
부산,2024-05,435.5460095990838
부산,2024-06,476.966071813425
부산,2024-07,470.94698788580604
부산,2024-08,491.1591355599214
부산,2024-09,470.6989879971758
부산,2024-10,479.3891358305396
부산,2024-11,478.55756126411063
부산,2024-12,456.5773858737964
부산,2025-01,450.37531276063385
부산,2025-02,437.7236836417735
부산,2025-03,456.6055355320117
부산,2025-04,450.82680591818973
부산,2025-05,482.8687664389506
부산,2025-06,523.841726031884
부산,2025-07,493.29867453386703
부산,2025-08,496.0747135473273
부산,2025-09,511.9868033648054
부산,2025-10,528.7671716844591
부산,2025-11,523.6169591862258
부산,2025-12,500.62578222778467
서울,2006-01,339.61153619776337
서울,2006-02,315.08901417353616
서울,2006-03,352.9827038475115
서울,2006-04,345.05208333333337
서울,2006-05,332.2235625113029
서울,2006-06,317.404952912452
서울,2006-07,315.5479059093517
서울,2006-08,320.873869260966
서울,2006-09,342.0219978906132
서울,2006-10,369.22663802363047
서울,2006-11,327.89790854306983
서울,2006-12,334.7042787720754
서울,2007-01,323.3323332333233
서울,2007-02,330.80534192247853
서울,2007-03,327.32447817836817
서울,2007-04,332.3272808242748
서울,2007-05,336.9246808136536
서울,2007-06,358.8117489986649
서울,2007-07,361.1971104231166
서울,2007-08,360.0592360051569
서울,2007-09,370.8267095778393
서울,2007-10,379.1325447376403
서울,2007-11,383.6794645904856
서울,2007-12,394.3032015065914
서울,2008-01,400.48057669203047
서울,2008-02,411.7889287605153
서울,2008-03,434.77013304113586
서울,2008-04,468.013468013468
서울,2008-05,494.9328305444261
서울,2008-06,496.59591509811776
서울,2008-07,498.14951086830297
서울,2008-08,501.5859543323766
서울,2008-09,492.9812336941775
서울,2008-10,480.03149296329104
서울,2008-11,528.6809410520751
서울,2008-12,559.6642014791125
서울,2009-01,595.6688509430269
서울,2009-02,543.2965563356737
서울,2009-03,532.258064516129
서울,2009-04,541.4083238116898
서울,2009-05,520.9713024282561
서울,2009-06,536.6395262768319
서울,2009-07,533.689126084056
서울,2009-08,541.5587473510714
서울,2009-09,518.5278866826862
서울,2009-10,506.70512858378976
서울,2009-11,509.182963321412
서울,2009-12,542.4810530514559
서울,2010-01,553.6130536130537
서울,2010-02,520.3888345371662
